Date,State of charge
2012-02-07 07:13:00,99
2012-02-07 07:18:00,95
2012-02-07 07:24:00,95
2012-02-07 07:50:00,62
2012-02-07 09:29:00,62
2012-02-07 09:32:00,60
2012-02-07 09:36:00,60
2012-02-07 09:38:00,59
2012-02-07 09:38:00,59
2012-02-07 09:40:00,59
2012-02-07 09:40:00,59
2012-02-07 14:15:00,100
2012-02-07 17:05:00,100
2012-02-07 17:20:00,80
2012-02-07 17:25:00,80
2012-02-07 17:37:00,65
2012-02-07 17:37:00,65
2012-02-07 18:47:00,85
2012-02-07 18:49:00,85
2012-02-07 19:19:00,52
2012-02-07 19:21:00,52
2012-02-07 19:28:00,49
2012-02-07 21:55:00,49
2012-02-07 22:29:00,13
2012-02-07 22:52:00,32
2012-02-08 04:07:00,100
2012-02-08 07:20:00,99
2012-02-08 07:47:00,77
2012-02-08 13:08:00,77
2012-02-08 13:24:00,72
2012-02-08 13:41:00,72
2012-02-08 13:57:00,66
2012-02-08 16:26:00,66
2012-02-08 16:51:00,34
2012-02-08 16:53:00,34
2012-02-08 21:48:00,100
2012-02-08 22:30:00,13
2012-02-09 04:25:00,100
2012-02-09 09:16:00,100
2012-02-09 09:19:00,98
2012-02-09 09:21:00,98
2012-02-09 09:56:00,69
2012-02-09 15:36:00,69
2012-02-09 15:44:00,67
2012-02-09 16:53:00,67
2012-02-09 16:58:00,65
2012-02-09 19:05:00,65
2012-02-09 19:46:00,24
2012-02-09 21:55:00,24
2012-02-09 21:55:00,24
2012-02-10 06:49:00,24
2012-02-10 07:57:00,44
2012-02-10 08:00:00,44
2012-02-10 08:12:00,34
2012-02-10 14:49:00,34
2012-02-10 14:57:00,24
2012-02-10 14:59:00,24
2012-02-10 20:33:00,100
2012-02-12 15:58:00,100
2012-02-12 16:02:00,96
2012-02-12 21:17:00,95
2012-02-12 21:20:00,92
2012-02-13 06:49:00,91
2012-02-13 07:15:00,60
2012-02-13 17:00:00,60
2012-02-13 17:24:00,35
2012-02-13 17:24:00,35
2012-02-13 22:20:00,100
2012-02-15 07:30:00,100
2012-02-15 07:55:00,76
2012-02-15 16:56:00,76
2012-02-15 17:18:00,50
2012-02-15 17:19:00,50
2012-02-15 21:21:00,100
2012-02-16 10:56:00,100
2012-02-16 11:00:00,98
2012-02-16 11:13:00,98
2012-02-16 11:13:00,98
2012-02-16 11:25:00,98
2012-02-16 11:26:00,98
2012-02-16 11:35:00,98
2012-02-16 11:36:00,98
2012-02-16 11:42:00,98
2012-02-16 11:46:00,96
2012-02-16 15:41:00,96
2012-02-16 15:47:00,95
2012-02-16 17:19:00,95
2012-02-16 17:23:00,93
2012-02-16 17:37:00,93
2012-02-16 17:41:00,90
2012-02-16 17:44:00,90
2012-02-16 17:47:00,89
2012-02-16 17:49:00,89
2012-02-16 17:57:00,84
2012-02-16 20:30:00,84
2012-02-16 20:56:00,61
2012-02-17 08:34:00,61
2012-02-17 09:05:00,32
2012-02-17 09:47:00,32
2012-02-17 09:47:00,32
2012-02-17 09:51:00,32
2012-02-17 14:52:00,100
2012-02-17 16:49:00,100
2012-02-17 16:52:00,97
2012-02-17 17:03:00,97
2012-02-17 17:06:00,95
2012-02-18 15:49:00,95
2012-02-18 15:53:00,92
2012-02-18 21:18:00,92
2012-02-18 21:21:00,89
2012-02-19 13:29:00,89
2012-02-19 13:34:00,85
2012-02-19 15:09:00,85
2012-02-19 15:14:00,80
2012-02-19 15:15:00,80
2012-02-19 17:20:00,96
2012-02-20 09:13:00,98
2012-02-20 09:16:00,96
2012-02-20 15:38:00,64
2012-02-20 15:42:00,63
2012-02-20 16:59:00,63
2012-02-20 17:05:00,62
2012-02-20 17:41:00,62
2012-02-20 18:14:00,33
